SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
NIBL, EQ, 09-Apr-2019,20,20,22,19.8,20.3,20.45,20.59,6322,1.3,37,4613,72.97
NIFTYBEES, EQ, 09-Apr-2019,1219.53,1220,1226.95,1213.09,1226,1224.45,1218.17,34102,415.42,1041,27963,82
NIFTYEES, EQ, 09-Apr-2019,13500,13500,14000,13180,14000,13818.99,13645.56,25,3.41,22,6,24
NIITLTD, EQ, 09-Apr-2019,113.9,113.85,116.5,106.8,112.25,112.65,112.08,12297612,13783.23,91725,2314959,18.82
NIITTECH, EQ, 09-Apr-2019,1301.7,1302.2,1308.4,1285.7,1301.6,1298.55,1295.08,610176,7902.24,30464,228817,37.5
NILAINFRA, EQ, 09-Apr-2019,7.9,8,8,7.75,7.8,7.8,7.81,116855,9.12,224,68488,58.61
NILASPACES, EQ, 09-Apr-2019,2.3,2.4,2.4,2.3,2.4,2.35,2.35,153829,3.61,108,131768,85.66
NILKAMAL, EQ, 09-Apr-2019,1405.55,1408,1408,1389.1,1401.2,1402.95,1399.6,11490,160.81,593,9604,83.59
NIPPOBATRY, EQ, 09-Apr-2019,702.2,712.5,712.5,695,695,695.45,698.3,267,1.86,25,160,59.93
NITCO, EQ, 09-Apr-2019,39.8,40.15,40.15,38.5,38.7,38.85,39.02,79987,31.21,697,33544,41.94
NITESHEST, EQ, 09-Apr-2019,6.2,6.3,6.3,6.1,6.15,6.2,6.17,85779,5.29,131,61250,71.4
NITINFIRE, EQ, 09-Apr-2019,1.5,1.55,1.55,1.45,1.45,1.45,1.46,53399,0.78,50,33255,62.28
NITINSPIN, EQ, 09-Apr-2019,85.95,85.7,86.9,84.5,84.6,84.65,85.26,14021,11.95,387,8903,63.5
NITIRAJ, SM, 09-Apr-2019,45.2,44,44.65,43,44,44,43.94,10800,4.75,9,10800,100
NKIND, EQ, 09-Apr-2019,39.85,39.85,40,39.6,39.8,39.8,39.84,2714,1.08,19,2624,96.68
NLCINDIA, EQ, 09-Apr-2019,68,68.05,68.4,67.65,68.1,68,68.01,319766,217.46,3330,234102,73.21
NMDC, EQ, 09-Apr-2019,105.8,105.6,105.9,103.85,104.5,104.4,104.7,3354593,3512.15,26869,1406148,41.92
NOCIL, EQ, 09-Apr-2019,143.4,144,144.95,141.15,141.35,141.7,142.58,272334,388.28,3289,135514,49.76
NOIDATOLL, EQ, 09-Apr-2019,5.55,5.55,5.75,5.5,5.55,5.55,5.55,37862,2.1,110,31186,82.37
NRAIL, EQ, 09-Apr-2019,330.05,334,360,332.25,347,347.3,350.19,48430,169.6,1720,26954,55.66
NRBBEARING, EQ, 09-Apr-2019,194.95,194.25,199,192.3,193.85,194.2,195.33,62287,121.67,1799,22975,36.89
NSIL, EQ, 09-Apr-2019,1033.65,1030,1053.1,1029.5,1033.65,1033.5,1035.07,356,3.68,67,278,78.09
NTL, BE, 09-Apr-2019,0.95,1,1,0.9,0.9,0.9,0.95,752,0.01,3, -, -
NTPC, EQ, 09-Apr-2019,135.55,135.5,136.45,135.05,136.25,135.9,135.71,7506763,10187.8,47787,3807163,50.72
NTPC, N4, 09-Apr-2019,1165,1185.25,1185.25,1185.25,1185.25,1185.25,1185.25,50,0.59,1,50,100
NTPC, N6, 09-Apr-2019,1280,1299.95,1299.95,1290,1290,1290,1290.04,502,6.48,2,502,100
NTPC, N7, 09-Apr-2019,12.62,12.55,12.7,12.55,12.62,12.62,12.63,15918,2.01,71,13895,87.29
NTPC, NB, 09-Apr-2019,1086,1071.52,1071.52,1071.52,1071.52,1071.52,1071.52,1,0.01,1,1,100
NTPC, NC, 09-Apr-2019,1102.52,1102.52,1120.01,1102.52,1120.01,1120.01,1111.27,14,0.16,2,7,50
NUCLEUS, EQ, 09-Apr-2019,341.65,345.9,358.6,342.05,351,352.05,350.85,25528,89.56,1179,15314,59.99
NUTEK, BZ, 09-Apr-2019,0.3,0.35,0.35,0.35,0.35,0.35,0.35,165868,0.58,29, -, -
OBEROIRLTY, EQ, 09-Apr-2019,537.4,538.55,543.95,525.1,542.5,541.9,534.71,183487,981.12,10492,67095,36.57
OCCL, EQ, 09-Apr-2019,1132.5,1130.3,1134.8,1125,1125,1131.75,1127.4,1210,13.64,99,1088,89.92
OFSS, EQ, 09-Apr-2019,3569.2,3562,3608.75,3543.1,3565.9,3570.35,3573.56,36592,1307.64,5057,12285,33.57
OIL, EQ, 09-Apr-2019,178.7,179.1,179.25,177.25,178.15,178.4,178.22,921467,1642.26,10198,444479,48.24
OILCOUNTUB, EQ, 09-Apr-2019,14.75,15.5,15.5,14.6,14.85,14.85,15.03,190031,28.57,1283,67902,35.73
OISL, BZ, 09-Apr-2019,3.9,4.05,4.05,4.05,4.05,4.05,4.05,5973,0.24,8, -, -
OLECTRA, EQ, 09-Apr-2019,241.9,241.1,242.5,231.4,239.9,239.7,237.29,41728,99.02,1154,22092,52.94
OMAXAUTO, EQ, 09-Apr-2019,82,82.25,84.4,82.2,84,82.95,82.87,16229,13.45,63,15582,96.01
OMAXE, EQ, 09-Apr-2019,211.9,211.85,212.5,211.6,212.5,211.9,211.79,201428,426.61,5344,24804,12.31
OMKARCHEM, EQ, 09-Apr-2019,17.15,17.85,17.9,16.6,16.8,16.9,17,42535,7.23,213,37831,88.94
OMMETALS, EQ, 09-Apr-2019,33.3,33.15,33.3,31.3,32.25,32.35,32.44,132858,43.1,626,94173,70.88
ONELIFECAP, EQ, 09-Apr-2019,12.9,12.8,13.4,12.8,13.4,13.4,13.19,1233,0.16,8,1233,100
ONEPOINT, SM, 09-Apr-2019,57,57.95,57.95,56,57.85,57.8,57.39,28000,16.07,13,8000,28.57
ONGC, EQ, 09-Apr-2019,158.1,158.6,158.9,157.05,157.75,157.55,157.89,8487177,13400.04,70657,4215723,49.67
ONMOBILE, EQ, 09-Apr-2019,43.65,43.55,44.5,43.3,44.05,43.95,43.94,397571,174.7,804,286781,72.13
ONWARDTEC, EQ, 09-Apr-2019,65.65,65.1,68,65.1,66.05,66.55,66.71,7286,4.86,93,4171,57.25
OPTIEMUS, EQ, 09-Apr-2019,109.75,111.35,122.1,110,119.2,118.1,116.51,129131,150.45,1850,50048,38.76
OPTOCIRCUI, EQ, 09-Apr-2019,8.2,8.2,9.4,7.95,8,8,8.47,2887430,244.7,2756,1020031,35.33
